TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        IS_NULLABLE
ClientGoals                                                                                                                      Category                                                                                                                         int                                                                                                                              NO         
ClientGoals                                                                                                                      CreatedDate                                                                                                                      datetime2                                                                                                                        NO         
ClientGoals                                                                                                                      TargetDate                                                                                                                       datetime2                                                                                                                        NO         
ClientGoals                                                                                                                      CompletedDate                                                                                                                    datetime2                                                                                                                        YES        
ClientGoals                                                                                                                      MeasurementType                                                                                                                  nvarchar                                                                                                                         YES        
ClientGoals                                                                                                                      StartValue                                                                                                                       decimal                                                                                                                          YES        
ClientGoals                                                                                                                      CurrentValue                                                                                                                     decimal                                                                                                                          YES        
ClientGoals                                                                                                                      TargetValue                                                                                                                      decimal                                                                                                                          YES        
ClientGoals                                                                                                                      Notes                                                                                                                            nvarchar                                                                                                                         YES        
ClientGoals                                                                                                                      IsActive                                                                                                                         bit                                                                                                                              NO         
ClientGoals                                                                                                                      IsCompleted                                                                                                                      bit                                                                                                                              NO         
ClientGoals                                                                                                                      CompletionCriteria                                                                                                               nvarchar                                                                                                                         YES        
ClientGoals                                                                                                                      CustomCategory                                                                                                                   nvarchar                                                                                                                         YES        
ClientGoals                                                                                                                      IsCoachCreated                                                                                                                   bit                                                                                                                              NO         
ClientGoals                                                                                                                      IsVisibleToCoach                                                                                                                 bit                                                                                                                              NO         
ClientGoals                                                                                                                      LastProgressUpdate                                                                                                               datetime2                                                                                                                        YES        
ClientGoals                                                                                                                      MeasurementUnit                                                                                                                  nvarchar                                                                                                                         YES        
ClientGoals                                                                                                                      TrackingFrequency                                                                                                                nvarchar                                                                                                                         YES        
ClientGoals                                                                                                                      UserId                                                                                                                           nvarchar                                                                                                                         YES        
ClientGroup                                                                                                                      Id                                                                                                                               int                                                                                                                              NO         
ClientGroup                                                                                                                      Name                                                                                                                             nvarchar                                                                                                                         NO         
ClientGroup                                                                                                                      Description                                                                                                                      nvarchar                                                                                                                         YES        
ClientGroup                                                                                                                      CoachId                                                                                                                          nvarchar                                                                                                                         NO         
ClientGroup                                                                                                                      CreatedDate                                                                                                                      datetime2                                                                                                                        NO         
ClientGroup                                                                                                                      LastModifiedDate                                                                                                                 datetime2                                                                                                                        NO         
ClientGroup                                                                                                                      ColorCode                                                                                                                        nvarchar                                                                                                                         YES        
ClientGroupMembers                                                                                                               Id                                                                                                                               int                                                                                                                              NO         
ClientGroupMembers                                                                                                               ClientGroupId                                                                                                                    int                                                                                                                              NO         
ClientGroupMembers                                                                                                               CoachClientRelationshipId                                                                                                        int                                                                                                                              NO         
ClientGroupMembers                                                                                                               AddedDate                                                                                                                        datetime2                                                                                                                        NO         
ClientGroups                                                                                                                     Id                                                                                                                               int                                                                                                                              NO         
ClientGroups                                                                                                                     Name                                                                                                                             nvarchar                                                                                                                         NO         
ClientGroups                                                                                                                     Description                                                                                                                      nvarchar                                                                                                                         YES        
ClientGroups                                                                                                                     CoachId                                                                                                                          nvarchar                                                                                                                         NO         
ClientGroups                                                                                                                     CreatedDate                                                                                                                      datetime2                                                                                                                        NO         
ClientGroups                                                                                                                     ColorCode                                                                                                                        nvarchar                                                                                                                         YES        
ClientGroups                                                                                                                     LastModifiedDate                                                                                                                 datetime2                                                                                                                        NO         
CoachClientMessages                                                                                                              Id                                                                                                                               int                                                                                                                              NO         
CoachClientMessages                                                                                                              CoachClientRelationshipId                                                                                                        int                                                                                                                              NO         
CoachClientMessages                                                                                                              Content                                                                                                                          nvarchar                                                                                                                         NO         
CoachClientMessages                                                                                                              SentDate                                                                                                                         datetime2                                                                                                                        NO         
CoachClientMessages                                                                                                              IsFromCoach                                                                                                                      bit                                                                                                                              NO         
CoachClientMessages                                                                                                              IsRead                                                                                                                           bit                                                                                                                              NO         
CoachClientMessages                                                                                                              ReadDate                                                                                                                         datetime2                                                                                                                        YES        
CoachClientMessages                                                                                                              AttachmentUrl                                                                                                                    nvarchar                                                                                                                         YES        
CoachClientMessages                                                                                                              AttachmentType                                                                                                                   nvarchar                                                                                                                         YES        
CoachClientPermissions                                                                                                           Id                                                                                                                               int                                                                                                                              NO         
CoachClientPermissions                                                                                                           CoachClientRelationshipId                                                                                                        int                                                                                                                              NO         
CoachClientPermissions                                                                                                           CanViewWorkouts                                                                                                                  bit                                                                                                                              NO         
CoachClientPermissions                                                                                                           CanCreateWorkouts                                                                                                                bit                                                                                                                              NO         
CoachClientPermissions                                                                                                           CanModifyWorkouts                                                                                                                bit                                                                                                                              NO         
CoachClientPermissions                                                                                                           CanEditWorkouts                                                                                                                  bit                                                                                                                              NO         
CoachClientPermissions                                                                                                           CanDeleteWorkouts                                                                                                                bit                                                                                                                              NO         
CoachClientPermissions                                                                                                           CanViewPersonalInfo                                                                                                              bit                                                                                                                              NO         
CoachClientPermissions                                                                                                           CanCreateGoals                                                                                                                   bit                                                                                                                              NO         
CoachClientPermissions                                                                                                           CanViewReports                                                                                                                   bit                                                                                                                              NO         
CoachClientPermissions                                                                                                           CanMessage                                                                                                                       bit                                                                                                                              NO         
CoachClientPermissions                                                                                                           CanCreateTemplates                                                                                                               bit                                                                                                                              NO         
CoachClientPermissions                                                                                                           CanAssignTemplates                                                                                                               bit                                                                                                                              NO         
CoachClientPermissions                                                                                                           LastModifiedDate                                                                                                                 datetime2                                                                                                                        NO         
CoachClientRelationships                                                                                                         Id                                                                                                                               int                                                                                                                              NO         
CoachClientRelationships                                                                                                         CoachId                                                                                                                          nvarchar                                                                                                                         NO         
CoachClientRelationships                                                                                                         ClientId                                                                                                                         nvarchar                                                                                                                         YES        
CoachClientRelationships                                                                                                         Status                                                                                                                           int                                                                                                                              NO         
CoachClientRelationships                                                                                                         StartDate                                                                                                                        datetime2                                                                                                                        YES        
CoachClientRelationships                                                                                                         EndDate                                                                                                                          datetime2                                                                                                                        YES        
CoachClientRelationships                                                                                                         CreatedDate                                                                                                                      datetime2                                                                                                                        NO         
CoachClientRelationships                                                                                                         LastModifiedDate                                                                                                                 datetime2                                                                                                                        NO         
CoachClientRelationships                                                                                                         AppUserId                                                                                                                        nvarchar                                                                                                                         YES        
CoachClientRelationships                                                                                                         AppUserId1                                                                                                                       nvarchar                                                                                                                         YES        
CoachClientRelationships                                                                                                         ClientGroupId                                                                                                                    int                                                                                                                              YES        
CoachClientRelationships                                                                                                         InvitationExpiryDate                                                                                                             datetime2                                                                                                                        YES        
CoachClientRelationships                                                                                                         InvitationToken                                                                                                                  nvarchar                                                                                                                         YES        
CoachClientRelationships                                                                                                         InvitedEmail                                                                                                                     nvarchar                                                                                                                         YES        
CoachNote                                                                                                                        Id                                                                                                                               int                                                                                                                              NO         
CoachNote                                                                                                                        CoachClientRelationshipId                                                                                                        int                                                                                                                              NO         
CoachNote                                                                                                                        Content                                                                                                                          nvarchar                                                                                                                         NO         
CoachNote                                                                                                                        CreatedDate                                                                                                                      datetime2                                                                                                                        NO         
CoachNote                                                                                                                        UpdatedDate                                                                                                                      datetime2                                                                                                                        YES        
CoachNote                                                                                                                        IsVisibleToClient                                                                                                                bit                                                                                                                              NO         
CoachNote                                                                                                                        Category                                                                                                                         nvarchar                                                                                                                         YES        
CoachNotes                                                                                                                       Id                                                                                                                               int                                                                                                                              NO         
CoachNotes                                                                                                                       CoachClientRelationshipId                                                                                                        int                                                                                                                              NO         
CoachNotes                                                                                                                       Content                                                                                                                          nvarchar                                                                                                                         NO         
CoachNotes                                                                                                                       CreatedDate                                                                                                                      datetime2                                                                                                                        NO         
CoachNotes                                                                                                                       UpdatedDate                                                                                                                      datetime2                                                                                                                        YES        
CoachNotes                                                                                                                       IsVisibleToClient                                                                                                                bit                                                                                                                              NO         
CoachNotes                                                                                                                       Category                                                                                                                         nvarchar                                                                                                                         YES        
Counter                                                                                                                          Key                                                                                                                              nvarchar                                                                                                                         NO         
Counter                                                                                                                          Value                                                                                                                            int                                                                                                                              NO         
Counter                                                                                                                          ExpireAt                                                                                                                         datetime                                                                                                                         YES        
Counter                                                                                                                          Id                                                                                                                               bigint                                                                                                                           NO         
DataProtectionKeys                                                                                                               Id                                                                                                                               int                                                                                                                              NO         
DataProtectionKeys                                                                                                               FriendlyName                                                                                                                     nvarchar                                                                                                                         YES        
DataProtectionKeys                                                                                                               Xml                                                                                                                              nvarchar                                                                                                                         YES        
Equipment                                                                                                                        EquipmentId                                                                                                                      int                                                                                                                              NO         
Equipment                                                                                                                        Name                                                                                                                             nvarchar                                                                                                                         NO         
Equipment                                                                                                                        Description                                                                                                                      nvarchar                                                                                                                         YES        
Equipment                                                                                                                        IsActive                                                                                                                         bit                                                                                                                              NO         
ExerciseFeedbacks                                                                                                                ExerciseFeedbackId                                                                                                               int                                                                                                                              NO         
ExerciseFeedbacks                                                                                                                WorkoutFeedbackId                                                                                                                int                                                                                                                              NO         
ExerciseFeedbacks                                                                                                                SetId                                                                                                                            int                                                                                                                              NO         
ExerciseFeedbacks                                                                                                                RPE                                                                                                                              int                                                                                                                              NO         
ExerciseFeedbacks                                                                                                                Difficulty                                                                                                                       int                                                                                                                              NO         
ExerciseFeedbacks                                                                                                                TooHeavy                                                                                                                         bit                                                                                                                              NO         
ExerciseFeedbacks                                                                                                                TooLight                                                                                                                         bit                                                                                                                              NO         
ExerciseFeedbacks                                                                                                                Comments                                                                                                                         nvarchar                                                                                                                         YES        
ExerciseSubstitutions                                                                                                            ExerciseSubstitutionId                                                                                                           int                                                                                                                              NO         
ExerciseSubstitutions                                                                                                            PrimaryExerciseTypeId                                                                                                            int                                                                                                                              NO         
ExerciseSubstitutions                                                                                                            SubstituteExerciseTypeId                                                                                                         int                                                                                                                              NO         
ExerciseSubstitutions                                                                                                            EquivalencePercentage                                                                                                            int                                                                                                                              NO         
ExerciseSubstitutions                                                                                                            MovementPattern                                                                                                                  nvarchar                                                                                                                         YES        
ExerciseSubstitutions                                                                                                            EquipmentRequired                                                                                                                nvarchar                                                                                                                         YES        
